id,asset_id,dr7objid,ra,dec,gz2class,broad_morphology,object_type,confidence,anomaly_score,ood_score,priority,catalog_status,catalog_name,observation_time,image_url,split,is_demo,explanation,provenance,p_smooth,p_features,p_edgeon,p_spiral,p_bar,p_odd
LIB-000017,12230,587725816425676895,237.48488,54.44083,Ser,EDGE_ON,Galaxy,0.795,0.2645,0.2645,LOW,MATCHED,SDSS DR7 J587725+8164,2026-05-17T16:16:00Z,/library/images/12230.jpg,val,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.80 with 79.5% classification confidence. Original GZ2 taxonomy: 'Ser'. Note: Galaxy Zoo oddity attribute is elevated (p_odd = 0.32).",Galaxy Zoo 2 Survey / SDSS DR7,0.3748,0.6075,0.795,0.3847,0.0,0.324
LIB-000018,12788,587725817493651572,218.62213,63.45443,Sen,EDGE_ON,Galaxy,0.99,0.05,0.05,LOW,MATCHED,SDSS DR7 J587725+8174,2026-06-18T17:17:00Z,/library/images/12788.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Sen'.",Galaxy Zoo 2 Survey / SDSS DR7,0.1921,0.8647,1.0,0.0,0.0,0.0
LIB-000019,13369,587725818565361799,209.78445,66.18808,Ser,EDGE_ON,Galaxy,0.6055,0.1992,0.1992,LOW,MATCHED,SDSS DR7 J587725+8185,2026-07-19T18:18:00Z,/library/images/13369.jpg,val,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.61 with 60.6% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.2668,0.9119,0.6055,0.5614,0.0,0.004
LIB-000020,13506,587725818575257839,244.84883,51.78409,Seb,EDGE_ON,Galaxy,0.9338,0.0785,0.0785,LOW,MATCHED,SDSS DR7 J587725+8185,2026-08-20T19:19:00Z,/library/images/13506.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.93 with 93.4% classification confidence. Original GZ2 taxonomy: 'Seb'.",Galaxy Zoo 2 Survey / SDSS DR7,0.0436,0.9895,0.9338,0.0,0.0,0.0909
LIB-000021,14948,587726014537793663,193.08957,2.02447,Ser,EDGE_ON,Galaxy,0.99,0.05,0.05,LOW,MATCHED,SDSS DR7 J587726+0145,2026-09-21T20:20:00Z,/library/images/14948.jpg,val,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.0348,0.9444,1.0,0.0,0.0,0.0645
LIB-000022,16608,587726016681410728,184.29095,3.63545,Ser,EDGE_ON,Galaxy,0.7132,0.2034,0.2034,LOW,WEAK_MATCH,SDSS DR7 J587726+0166,2026-10-22T21:21:00Z,/library/images/16608.jpg,val,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.71 with 71.3% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.3499,0.5917,0.7132,0.0,0.0,0.1201
LIB-000023,16769,587726031166308443,160.60814,1.22192,Seb(o),EDGE_ON,Galaxy,0.8061,0.4229,0.4229,MEDIUM,MATCHED,SDSS DR7 J587726+0311,2026-11-23T22:22:00Z,/library/images/16769.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.81 with 80.6% classification confidence. Original GZ2 taxonomy: 'Seb(o)'. Note: Galaxy Zoo oddity attribute is elevated (p_odd = 0.65).",Galaxy Zoo 2 Survey / SDSS DR7,0.0552,0.984,0.8061,0.0,0.0,0.652
LIB-000024,17439,587726031712288866,181.334,1.77873,Ser,EDGE_ON,Galaxy,0.673,0.2588,0.2588,LOW,MATCHED,SDSS DR7 J587726+0317,2026-12-24T23:23:00Z,/library/images/17439.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.67 with 67.3% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.3705,0.6632,0.673,0.1824,1.0,0.1906
LIB-000025,17663,587726031728017631,217.35858,1.38795,Ser,EDGE_ON,Galaxy,0.946,0.05,0.05,LOW,MATCHED,SDSS DR7 J587726+0317,2026-01-25T00:24:00Z,/library/images/17663.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.95 with 94.6% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.2741,0.7803,0.946,0.0,0.0,0.0296
LIB-000026,18167,587726032258334921,202.35881,2.1162,Ser,EDGE_ON,Galaxy,0.571,0.3682,0.3682,LOW,MATCHED,SDSS DR7 J587726+0322,2026-02-26T01:25:00Z,/library/images/18167.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.57 with 57.1% classification confidence. Original GZ2 taxonomy: 'Ser'. Note: Galaxy Zoo oddity attribute is elevated (p_odd = 0.31).",Galaxy Zoo 2 Survey / SDSS DR7,0.3146,0.7564,0.571,0.3456,0.3213,0.3075
LIB-000027,18590,587726032780132450,167.84572,2.39594,Ser,EDGE_ON,Galaxy,0.7025,0.2843,0.2843,LOW,MATCHED,SDSS DR7 J587726+0327,2026-03-27T02:26:00Z,/library/images/18590.jpg,test,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.70 with 70.3% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.2371,0.7632,0.7025,0.0,0.2149,0.2711
LIB-000028,19393,587726033320083640,174.97812,3.0545,Sen,EDGE_ON,Galaxy,0.99,0.05,0.05,LOW,MATCHED,SDSS DR7 J587726+0333,2026-04-28T03:27:00Z,/library/images/19393.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Sen'.",Galaxy Zoo 2 Survey / SDSS DR7,0.2639,0.6431,1.0,0.0,0.0,0.0
LIB-000029,20052,587726033861083240,184.36325,3.53796,Ser,EDGE_ON,Galaxy,0.5351,0.2324,0.2324,LOW,WEAK_MATCH,SDSS DR7 J587726+0338,2026-05-01T04:28:00Z,/library/images/20052.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.54 with 53.5% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.4428,0.454,0.5351,0.0,0.0,0.0
LIB-000030,20347,587726100409745603,213.7066,3.75682,Seb,EDGE_ON,Galaxy,0.99,0.05,0.05,LOW,MATCHED,SDSS DR7 J587726+1004,2026-06-02T05:29:00Z,/library/images/20347.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Seb'.",Galaxy Zoo 2 Survey / SDSS DR7,0.0439,0.9741,1.0,0.0,0.0,0.0213
LIB-000031,20642,587726100948844831,218.79079,3.74621,Ser,EDGE_ON,Galaxy,0.7454,0.1596,0.1596,LOW,MATCHED,SDSS DR7 J587726+1009,2026-07-03T06:30:00Z,/library/images/20642.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.75 with 74.5% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.2853,0.6832,0.7454,0.0,0.0,0.0646
LIB-000032,20760,587726100954743150,232.3046,3.10011,Ser,EDGE_ON,Galaxy,0.8651,0.1312,0.1312,LOW,MATCHED,SDSS DR7 J587726+1009,2026-08-04T07:31:00Z,/library/images/20760.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.87 with 86.5% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.2252,0.7037,0.8651,0.0,0.0,0.1276
LIB-000033,21239,587726102026911928,228.68936,4.06633,Ser(m),EDGE_ON,Galaxy,0.99,0.3825,0.3825,LOW,MATCHED,SDSS DR7 J587726+1020,2026-09-05T08:32:00Z,/library/images/21239.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser(m)'. Note: Galaxy Zoo oddity attribute is elevated (p_odd = 0.75).",Galaxy Zoo 2 Survey / SDSS DR7,0.1645,0.7941,1.0,0.0,0.0,0.755
LIB-000034,22436,587727943496237244,148.10608,1.90982,Ser,EDGE_ON,Galaxy,0.7716,0.1142,0.1142,LOW,MATCHED,SDSS DR7 J587727+9434,2026-10-06T09:33:00Z,/library/images/22436.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.77 with 77.2% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.4687,0.8597,0.7716,0.0,0.0,0.0
LIB-000035,22768,587728307484688542,152.44315,1.16264,Ser,EDGE_ON,Galaxy,0.99,0.05,0.05,LOW,MATCHED,SDSS DR7 J587728+3074,2026-11-07T10:34:00Z,/library/images/22768.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.1975,0.887,1.0,0.0,0.0,0.0
LIB-000036,22893,587728307490324611,165.2944,1.35613,Sen(m),EDGE_ON,Galaxy,0.5305,0.5066,0.5066,MEDIUM,MATCHED,SDSS DR7 J587728+3074,2026-12-08T11:35:00Z,/library/images/22893.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.53 with 53.0% classification confidence. Original GZ2 taxonomy: 'Sen(m)'. Note: Galaxy Zoo oddity attribute is elevated (p_odd = 0.54).",Galaxy Zoo 2 Survey / SDSS DR7,0.1214,0.9273,0.5305,0.549,0.1433,0.5437
LIB-000037,23080,587728308024901763,160.08041,1.8455,Ser,EDGE_ON,Galaxy,0.9016,0.0702,0.0702,LOW,MATCHED,SDSS DR7 J587728+3080,2026-01-09T12:36:00Z,/library/images/23080.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.90 with 90.2% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.2012,0.9619,0.9016,1.0,0.0,0.042
LIB-000038,24319,587728669342302396,122.20802,41.01062,Ser,EDGE_ON,Galaxy,0.9159,0.0608,0.0608,LOW,MATCHED,SDSS DR7 J587728+6693,2026-02-10T13:37:00Z,/library/images/24319.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.92 with 91.6% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.0916,0.9241,0.9159,0.0,0.0,0.0376
LIB-000039,24622,587728676856135779,177.95122,63.76231,Ser,EDGE_ON,Galaxy,0.7558,0.1221,0.1221,LOW,MATCHED,SDSS DR7 J587728+6768,2026-03-11T14:38:00Z,/library/images/24622.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.76 with 75.6% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.4,0.8395,0.7558,0.6084,0.0,0.0
LIB-000040,24748,587728677394251902,184.47128,64.30163,Sen,EDGE_ON,Galaxy,0.5,0.311,0.311,LOW,WEAK_MATCH,SDSS DR7 J587728+6773,2026-04-12T15:39:00Z,/library/images/24748.jpg,val,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.50 with 50.0% classification confidence. Original GZ2 taxonomy: 'Sen'.",Galaxy Zoo 2 Survey / SDSS DR7,0.414,0.584,0.5,0.833,0.333,0.122
LIB-000041,25189,587728879258632409,136.08362,2.54968,Ser,EDGE_ON,Galaxy,0.99,0.0586,0.0586,LOW,MATCHED,SDSS DR7 J587728+8792,2026-05-13T16:40:00Z,/library/images/25189.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.1939,0.9546,1.0,0.0,0.0,0.1072
LIB-000042,25606,587728879803236577,153.70111,3.86859,Sen,EDGE_ON,Galaxy,0.952,0.1698,0.1698,LOW,MATCHED,SDSS DR7 J587728+8798,2026-06-14T17:41:00Z,/library/images/25606.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.95 with 95.2% classification confidence. Original GZ2 taxonomy: 'Sen'.",Galaxy Zoo 2 Survey / SDSS DR7,0.0954,0.9471,0.952,0.0,0.0,0.2917
LIB-000043,25850,587728880335257884,142.59393,3.73794,Ser,EDGE_ON,Galaxy,0.5487,0.2573,0.2573,LOW,WEAK_MATCH,SDSS DR7 J587728+8803,2026-07-15T18:42:00Z,/library/images/25850.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.55 with 54.9% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.3208,0.5857,0.5487,0.393,0.0,0.0634
LIB-000044,26270,587728880881172606,163.34506,5.17269,Ser,EDGE_ON,Galaxy,0.99,0.05,0.05,LOW,MATCHED,SDSS DR7 J587728+8808,2026-08-16T19:43:00Z,/library/images/26270.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.2744,0.7764,1.0,0.0,0.0,0.0
LIB-000045,26793,587728917372010617,206.35275,62.12952,Ser,EDGE_ON,Galaxy,0.99,0.05,0.05,LOW,MATCHED,SDSS DR7 J587728+9173,2026-09-17T20:44:00Z,/library/images/26793.jpg,val,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.0383,0.9911,1.0,0.0,0.0,0.0878
LIB-000046,27982,587728931884499081,148.16264,54.53909,Ser,EDGE_ON,Galaxy,0.99,0.0617,0.0617,LOW,MATCHED,SDSS DR7 J587728+9318,2026-10-18T21:45:00Z,/library/images/27982.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.0726,0.8336,1.0,0.0,0.0,0.1133
LIB-000047,28611,587728949051523242,159.09352,0.07744,Sen,EDGE_ON,Galaxy,0.99,0.05,0.05,LOW,MATCHED,SDSS DR7 J587728+9490,2026-11-19T22:46:00Z,/library/images/28611.jpg,val,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Sen'.",Galaxy Zoo 2 Survey / SDSS DR7,0.3607,0.6682,1.0,0.0,0.0,0.0262
LIB-000048,29971,587729155745906782,184.20752,65.82989,Ser,EDGE_ON,Galaxy,0.973,0.05,0.05,LOW,MATCHED,SDSS DR7 J587729+1557,2026-12-20T23:47:00Z,/library/images/29971.jpg,test,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.97 with 97.3% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.3087,0.822,0.973,0.0,1.0,0.0187
LIB-000049,30119,587729157893193762,195.8913,4.04943,Ser,EDGE_ON,Galaxy,0.75,0.1424,0.1424,LOW,MATCHED,SDSS DR7 J587729+1578,2026-01-21T00:48:00Z,/library/images/30119.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.75 with 75.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.3937,0.6291,0.75,0.0,0.8279,0.0348
LIB-000050,31972,587729160054898917,228.53821,4.46556,Ser,EDGE_ON,Galaxy,0.778,0.1696,0.1696,LOW,WEAK_MATCH,SDSS DR7 J587729+1600,2026-02-22T01:49:00Z,/library/images/31972.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.78 with 77.8% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.5,0.5285,0.778,0.0,0.0,0.1173
LIB-000051,32246,587729226611752998,228.62225,58.78509,Ser,EDGE_ON,Galaxy,0.5,0.462,0.462,MEDIUM,MATCHED,SDSS DR7 J587729+2266,2026-03-23T02:50:00Z,/library/images/32246.jpg,val,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.50 with 50.0% classification confidence. Original GZ2 taxonomy: 'Ser'. Note: Galaxy Zoo oddity attribute is elevated (p_odd = 0.42).",Galaxy Zoo 2 Survey / SDSS DR7,0.4179,0.8444,0.5,0.564,0.0,0.424
LIB-000052,33235,587729231984132560,257.4226,35.40134,Ser,EDGE_ON,Galaxy,0.99,0.05,0.05,LOW,MATCHED,SDSS DR7 J587729+2319,2026-04-24T03:51:00Z,/library/images/33235.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.2415,0.7888,1.0,0.0,0.0,0.0485
LIB-000053,33612,587729233318904075,246.12315,50.19238,Ser,EDGE_ON,Galaxy,0.99,0.106,0.106,LOW,MATCHED,SDSS DR7 J587729+2333,2026-05-25T04:52:00Z,/library/images/33612.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.1902,0.8815,1.0,0.0,0.0,0.202
